c,l,Persian,Persian2,Problem/Question,English,MYD answer,MG answer
http://www.snik.eu/ontology/bb/StatisticalEvaluationOfPatientData,Statistical Evaluation of Patient Data,ارزیابی آماری داده های بیمار,,,,,
http://www.snik.eu/ontology/bb/TroubleShooting,Trouble Shooting,عیب یابی,,,,,
http://www.snik.eu/ontology/bb/OperationalizationOfMethodsAndDetailedStudyPlan,Operationalization of Methods and Detailed Study Plan,عملی کردن روش ها و برنامه دقیق مطالعه ,,,,,
http://www.snik.eu/ontology/bb/SoftwareQuality,Software Quality|Software-QualitÃ¤t,کیفیت نرم افزار,,,,,
http://www.snik.eu/ontology/bb/ArchitecturalStyle,Architectural Style|Architekturstil,سبک معماری,,,,,
http://www.snik.eu/ontology/bb/DataModel,Data Model|Datenmodell,مدل داده,,,,,
http://www.snik.eu/ontology/bb/BusinessProcess,Business Process|GeschÃ¤ftsprozess,فرآیند کاری,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfProphylaxis,Execution of Prophylaxis,اجرای پیشگیری,,,,,
http://www.snik.eu/ontology/bb/ItilServiceLifecycle,ITIL Service Lifecycle,چرخه سرویس ITIL,,,,,
http://www.snik.eu/ontology/bb/HumanActor,Human Actor,بازیگر انسانی,,,,,
http://www.snik.eu/ontology/bb/CrossEnterpriseDocumentSharing,Cross-Enterprise Document Sharing,اشتراک گذاری سازمانی اسناد,,,,,
http://www.snik.eu/ontology/bb/ItServiceManagement,IT Service Management,خدمات مدیریت فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/InformationManagementEntityType,Information Management Entity Type,نوع نهاد مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/IncidentTaking,Incident Taking,برداشت رویداد,,,,,
http://www.snik.eu/ontology/bb/OrderingOfDrugs,Ordering of Drugs,سفارش داروها,,,,,
http://www.snik.eu/ontology/bb/MedicalProcedure,Medical Procedure,روش پزشکی,,,,,
http://www.snik.eu/ontology/bb/NonSignalBasedTransmittingMedium,Non-Signal-Based Transmitting Medium,متوسط فرستنده بدون سیگنال,,,,,
http://www.snik.eu/ontology/bb/Router,Router,روتر,,,,,
http://www.snik.eu/ontology/bb/SelfDescriptiveness,Self-Descriptiveness,خود توصیفی,,,,,
http://www.snik.eu/ontology/bb/VideoConferencingSystem,Video Conferencing System,سیستم کنفرانس ویدیویی,,,,,
http://www.snik.eu/ontology/bb/Ultrasound,Ultrasound,سونوگرافی,,,,,
http://www.snik.eu/ontology/bb/OperationalHISDirecting,Operational HIS Directing,عملیات هدایت HIS,,,,,
http://www.snik.eu/ontology/bb/NonComputerBasedApplicationComponent,Nicht-Rechnerbasierter Anwendungsbaustein|Non-Computer-Based Application Component,کامپوننت نرم افزاری غیر کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/StudyParticipant,Study Participant,شرکت کننده مطالعه,,,,,
http://www.snik.eu/ontology/bb/HisComponent,HIS Component,کامپوننت HIS,,,,,
http://www.snik.eu/ontology/bb/ApplicationComponentStyle,Application Component Style,سبک کامپوننت کاربرد,,,اجزا *,,
http://www.snik.eu/ontology/bb/3LGM2Tool,3LGMÂ² Tool,ابزار 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/DicomStandard,DICOM Standard,استاندارد DICOM,,,,,
http://www.snik.eu/ontology/bb/3LGM2MessageType,3LGMÂ² Message Type,نوع پیام 3LGM²,,,,,
http://www.snik.eu/ontology/bb/BalanceOfHomegeneityAndHeterogeneity,Balance of Homegeneity and Heterogeneity,تعادل یکنواختی و ناهمگونی,,,,,
http://www.snik.eu/ontology/bb/InductiveApproach,Inductive Approach,رویکرد القائی,,,,,
http://www.snik.eu/ontology/bb/DiagnosisClass,Diagnosis Class,کلاس تشخیص,,,,,
http://www.snik.eu/ontology/bb/NursingAdmission,Nursing Admission,پذیرش پرستاری,,,,,
http://www.snik.eu/ontology/bb/MultifunctionalPhysicalDataProcessingSystem,multifunctional physical data processing system,سیستم پردازش داده های فیزیکی چند کاره,,,,,
http://www.snik.eu/ontology/bb/RadiologicalFinding,Radiological Finding,یافته رادیولوژی,,,,,
http://www.snik.eu/ontology/bb/Efficiency,Efficiency,بهره وری,,,,,
http://www.snik.eu/ontology/bb/QuasiExperimentalStudyDesign,Quasi-Experimental Study Design,طراحی مطالعه نیمه تجربی,,,,,
http://www.snik.eu/ontology/bb/TechnicalMetamodel,Technical Metamodel,متا مدل فنی,,,,,
http://www.snik.eu/ontology/bb/Laptop,Laptop,لپ تاپ,,,,,
http://www.snik.eu/ontology/bb/DrgCalculation,DRG Calculation,محاسبه DRG,,,,,
http://www.snik.eu/ontology/bb/Drug,Drug,دارو,,,,,
http://www.snik.eu/ontology/bb/OpenEHR,OpenEHR,OpenEHR,,,,,
http://www.snik.eu/ontology/bb/FirstLevelSupport,First-Level Support,سطح اول پشتیبانی,,,,,
http://www.snik.eu/ontology/bb/3LGM2InterlayerRelationship,3LGMÂ² Interlayer Relationship|3LGMÂ²-Interebenenbeziehung,رابطه میان لایه 3LGM ² ,,,,,
http://www.snik.eu/ontology/bb/CentralizedComputingCenter,centralized computing center,مرکز محاسبات متمرکز,,,,,
http://www.snik.eu/ontology/bb/InpatientCareInstitution,Inpatient Care Institution,موسسه مراقبت های سرپایی,,,,,
http://www.snik.eu/ontology/bb/EnterpriseFunction,Enterprise Function|Unternehmensaufgabe,تابع سازمانی,,,,,
http://www.snik.eu/ontology/bb/Maturity,Maturity,بلوغ,,,,,
http://www.snik.eu/ontology/bb/PharmacyInformationSystem,Pharmacy Information System,سیستم اطلاعات داروسازی,,,,,
http://www.snik.eu/ontology/bb/HL7EventDescription,HL7 Event Description,شرح رویداد HL7,,,,,
http://www.snik.eu/ontology/bb/Procedure,Procedure,عمل کرد,جراحی,,,,
http://www.snik.eu/ontology/bb/ProjectCompletion,Project Completion,تکمیل پروژه,,,,,
http://www.snik.eu/ontology/bb/QualitativeObservation,Qualitative Observation,مشاهدات کیفی,,,,,
http://www.snik.eu/ontology/bb/HospitalAdministrationDepartment,Hospital Administration Department,بخش مدیریت بیمارستان,,,,,
http://www.snik.eu/ontology/bb/LooselyCoupledNetwork,Loosely Coupled Network,شبکه آزادانه وصل شده,,,,,
http://www.snik.eu/ontology/bb/NursingReport,Nursing Report,گزارش پرستاری,,,,,
http://www.snik.eu/ontology/bb/EN12538,EN12538,EN12538,,,,,
http://www.snik.eu/ontology/bb/StrategicInformationManagement,Strategic Information Management|Strategisches Informationsmanagement,مدیریت استراتژیک اطلاعات ,,,,,
http://www.snik.eu/ontology/bb/SoaService,SOA Service,SOA سرویس,,,,,
http://www.snik.eu/ontology/bb/Nutrition,Nutrition,تغذیه,,,,,
http://www.snik.eu/ontology/bb/InformationSystemEffectiveness,Information System Effectiveness,اثربخشی سیستم اطلاعاتی,,,,,
http://www.snik.eu/ontology/bb/EMailCommunication,E-Mail Communication,ارتباطات ایمیل,,,,,
http://www.snik.eu/ontology/bb/Pathology,Pathology,آسيب شناسي,,,,,
http://www.snik.eu/ontology/bb/OpenEHRModelOfContent,OpenEHR Model of Content,مدل محتوا OpenEHR,,,,,مدل محتوایی OpenEHR
http://www.snik.eu/ontology/bb/ProvidingCustomerCenteredServices,Providing Customer-Centered Services,ارائه خدمات محور مشتری ,,,,,
http://www.snik.eu/ontology/bb/LifeCycleManagementOfStrategicInformationManagementPlan,Life Cycle Management of Strategic Information Management Plan,مدیریت چرخه زندگی برنامه استراتژیک مدیریت اطلاعات ,,,,,
http://www.snik.eu/ontology/bb/ObservationProtocol,Observation Protocol,پروتکل مشاهده,,,,,
http://www.snik.eu/ontology/bb/OutpatientEHRCertification,Outpatient EHR Certification,صدور گواهینامه EHR بیمار سرپایی,,,,,
http://www.snik.eu/ontology/bb/StructuralQualityAssessment,Structural Quality Assessment,ارزیابی کیفیت ساختاری,,,,,
http://www.snik.eu/ontology/bb/AvailabilityOfTheApplicationComponent,Availability of the Application Component,در دسترس بودن کامپوننت برنامه,,,,,
http://www.snik.eu/ontology/bb/Feature,Feature,ویژگی,,,,,
http://www.snik.eu/ontology/bb/DepartmentOfFacilityManagement,Department of Facility Management,بخش مدیریت تسهیلات,,,,,
http://www.snik.eu/ontology/bb/Pdfa,PDF/A,PDF/A,,,,,
http://www.snik.eu/ontology/bb/AssetAccounting,Asset Accounting,حسابداری دارایی ,,,,,
http://www.snik.eu/ontology/bb/ISOIEEE11073FamilyOfStandards,ISO/IEEE 11073 Family of Standards,گروه استانداردهای ISO/IEEE 11073,,,,,
http://www.snik.eu/ontology/bb/Pager,Pager,پیجر,,,,,
http://www.snik.eu/ontology/bb/DatabaseServer,Database Server,سرور بانک اطلاعاتی,سرور پایگاه داده,,,,
http://www.snik.eu/ontology/bb/EhrStrategy,EHR Strategy,EHR استراتژی,,,,,پیشینه بیمار مبتنی بر کاغذ******
http://www.snik.eu/ontology/bb/PaperBasedPatientRecord,Paper-Based Patient Record,پیشینه بیمار مبتنی بر کاغذ,,,,,
http://www.snik.eu/ontology/bb/RepresentativeOfHospitalDepartment,Representative of Hospital Department,نماینده بخش بیمارستان,,,,,
http://www.snik.eu/ontology/bb/MessageType,Message Type|Nachrichtentyp,نوع پیام,,,,,***
http://www.snik.eu/ontology/bb/ProjectTimeAllocation,Project Time Allocation,اختصاص زمان پروژه,,,,,
http://www.snik.eu/ontology/bb/HumanResourcesDepartment,Human Resources Department,منابع انسانی,,,,,
http://www.snik.eu/ontology/bb/TransmittingMedium,Transmitting Medium,وسیله فرستنده,,,,,
http://www.snik.eu/ontology/bb/PhysicalNetworkTopology,Physical Network Topology,توپولوژی شبکه فیزیکی,,,,,
http://www.snik.eu/ontology/bb/ReportAndPublicationOfStudy,Report and Publication of Study,گزارش و چاپ مطالعه,,,,,
http://www.snik.eu/ontology/bb/MemoryStick,Memory Stick,کارت حافظه,,,,,
http://www.snik.eu/ontology/bb/Accuracy,Accuracy,دقت,,,,,
http://www.snik.eu/ontology/bb/ServiceAssetManagement,Service Asset Management,مدیریت سرویس دارایی,,,,,
http://www.snik.eu/ontology/bb/3LGM2CommunicationLink,3LGMÂ² Communication Link,لینک ارتباط 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/VirtualServer,Virtual Server,سرور مجازی,,,,,
http://www.snik.eu/ontology/bb/AdministrativeDischargeAndBilling,Administrative Discharge and Billing,تخلف اداری و صورتحساب,,,,,
http://www.snik.eu/ontology/bb/SemanticIntegration,Semantic Integration|Semantische Integration,ادغام معنایی,,,,,
http://www.snik.eu/ontology/bb/Bar,BAR,BAR,,,,,
http://www.snik.eu/ontology/bb/DecubitusProphylaxis,Decubitus Prophylaxis,پیشگیری از انقباض,,,,,
http://www.snik.eu/ontology/bb/CodingOfDiagnoses,Coding of Diagnoses,کد گذاری تشخیص,,,,,
http://www.snik.eu/ontology/bb/2TierArchitecture,2-tier Architecture,معماری 2 لایه,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfDiagnosticTherapeuticAndNursingProcedures,Execution of Diagnostic Therapeutic and Nursing Procedures,اجرای روش های تشخیصی درمانی و پرستاری,,,,,
http://www.snik.eu/ontology/bb/Management,Management|Management Function,مدیریت,,,,,
http://www.snik.eu/ontology/bb/AccessControl,Access Control,کنترل دسترسی,,,,,
http://www.snik.eu/ontology/bb/HeterogeneityOfTheHISArchitecture,Heterogeneity of the HIS Architecture,ناهمگونی معماری HIS,,,,,
http://www.snik.eu/ontology/bb/ConsensusMethod,Consensus Method,روش توافق عام,,,,,
http://www.snik.eu/ontology/bb/AppointmentScheduling,Appointment Scheduling,زمان بندی قرار ملاقات,,,,,
http://www.snik.eu/ontology/bb/MobilePhysicalDataProcessingSystem,mobile physical data processing system,سیستم پردازش داده های فیزیکی تلفن همراه,,,,,
http://www.snik.eu/ontology/bb/ManagementOfUserAccounts,Management of User Accounts,مدیریت حساب کاربری,,,,,
http://www.snik.eu/ontology/bb/Reliability,Reliability,قابلیت اطمینان,,,,,
http://www.snik.eu/ontology/bb/Knowledge,Knowledge|Wissen,دانش,,,,,
http://www.snik.eu/ontology/bb/MixedApproach,Mixed Approach,رویکرد ترکیبی,,,,,
http://www.snik.eu/ontology/bb/OrganizationalUnitOfAHospital,Organizational Unit of a Hospital,واحد سازمانی یک بیمارستان,,,,,
http://www.snik.eu/ontology/bb/NursingGoal,Nursing Goal,هدف پرستاری,,,,,
http://www.snik.eu/ontology/bb/PlanAndOrganize,Plan and Organize,برنامه ریزی و سازماندهی,,,,,
http://www.snik.eu/ontology/bb/PersonalHygiene,Personal Hygiene,بهداشت شخصی,,,,,
http://www.snik.eu/ontology/bb/MedicalErrorReport,Medical Error Report,گزارش خطا پزشکی,,,,,
http://www.snik.eu/ontology/bb/QualifiedElectronicSignature,Qualified Electronic Signature,امضا الکترونیکی واجد شرایط,,,,,
http://www.snik.eu/ontology/bb/TherapeuticStandard,Therapeutic Standard,استاندارد درمانی,,,,,
http://www.snik.eu/ontology/bb/PermanentMonitoring,Permanent Monitoring,نظارت دائمی,,,,,
http://www.snik.eu/ontology/bb/Cluster,Cluster,خوشه,,,,,
http://www.snik.eu/ontology/bb/UtilityAnalysis,Utility Analysis,تجزیه و تحلیل سودمندی,,,,,
http://www.snik.eu/ontology/bb/AdaptationCost,Adaptation Cost,هزینه ادغام,,,,,
http://www.snik.eu/ontology/bb/SecurePhysicalDataProcessingSystem,secure physical data processing system,سیستم پردازش داده های فیزیکی امن,,,,,
http://www.snik.eu/ontology/bb/ControllingReport,Controlling Report,گزارش نظارت,,,,,
http://www.snik.eu/ontology/bb/UserRequirementsAnalysis,User Requirements Analysis,تجزیه و تحلیل نیاز کاربر,,,,,
http://www.snik.eu/ontology/bb/AcquireAndImplement,Acquire and Implement,به دست آوردن و پیاده سازی,,,,,
http://www.snik.eu/ontology/bb/ClassificationOfProcedures,Classification of Procedures,طبقه بندی روش ها,,,,,
http://www.snik.eu/ontology/bb/HealthCareNetwork,Gesundheitsversorgungsnetzwerk|Health Care Network,شبکه بهداشت و درمان,,,,,
http://www.snik.eu/ontology/bb/ContinuousHISAuditing,Continuous HIS Auditing,حسابرسی مستمر HIS,,,,,
http://www.snik.eu/ontology/bb/HisBenchmarkingMethod,HIS Benchmarking Method,روش سنجش HIS,,,,,
http://www.snik.eu/ontology/bb/ComputerSystem,Computer System,سیستم کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/BalanceOfComputerBasedAndNonComputerBasedTools,Balance of Computer-Based and Non-Computer-Based Tools,تعادل ابزارهای مبتنی بر کامپیوتر و غیر کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/EvaluationMethod,Evaluation Method,روش ارزیابی,,,,,
http://www.snik.eu/ontology/bb/HairUndNailCare,Hair und Nail Care,مراقبت از مو و ناخن,,,,,
http://www.snik.eu/ontology/bb/Xml,XML,XML,,,,,
http://www.snik.eu/ontology/bb/ComputerBasedPhysicalDataProcessingSystem,Computer-Based Physical Data Processing System,سیستم پردازش داده های فیزیکی کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/PatientDataManagementSystem,Patient Data Management System|Patientendaten-Managementsystem,سیستم مدیریت اطلاعات بیمار,,,,,
http://www.snik.eu/ontology/bb/ForkLift,Fork Lift,بالابر,,,,,
http://www.snik.eu/ontology/bb/MalcolmBaldrigeNationalQualityAward,Malcolm Baldrige National Quality Award,جایزه کیفیت ملی مالکوم بلدریج,,,,,
http://www.snik.eu/ontology/bb/PharmacyDepartment,Pharmacy Department,بخش داروخانه,,,,,
http://www.snik.eu/ontology/bb/HL7CDA,HL7 CDA,HL7 CDA,,,,,
http://www.snik.eu/ontology/bb/QualitativeInterview,Qualitative Interview,مصاحبه کیفی,,,,,
http://www.snik.eu/ontology/bb/LongTermHISPlanning,Long-Term HIS Planning,برنامه ریزی بلند مدت HIS,,,,,
http://www.snik.eu/ontology/bb/NonComputerBasedPhysicalDataProcessingSystem,Non-Computer-Based Physical Data Processing System,سیستم پردازش داده های فیزیکی غیر کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/VendorStyle,Vendor Style,سبک فروشنده,,,,,
http://www.snik.eu/ontology/bb/ProjectExecution,Project Execution,اجرای پروژه,,,,,
http://www.snik.eu/ontology/bb/Consultant,Consultant,مشاور,,,,,
http://www.snik.eu/ontology/bb/RecommendationsForFurtherTreatment,Recommendations for Further Treatment,توصیه ها برای درمان بیشتر,,,,,
http://www.snik.eu/ontology/bb/StrategicHospitalGoal,Strategic Hospital Goal,هدف استراتژیک بیمارستان,,,,,
http://www.snik.eu/ontology/bb/3LGM2Use,3LGMÂ² Use,استفاده از 3LGM ²,,,,,
http://www.snik.eu/ontology/bb/BalanceOfFunctionalLeannessAndFunctionalRedundancy,Balance of Functional Leanness and Functional Redundancy,تعادل اندکگری و افزونگری عملکردی,,,,,*****
http://www.snik.eu/ontology/bb/ComputingCenterManager,Computing Center Manager,مدیر مرکز محاسبات,,,,,
http://www.snik.eu/ontology/bb/UmlAssociationClass,UML Association Class,کلاس وابستگی UML,,,,,
http://www.snik.eu/ontology/bb/FulfillmentOfTheExpectationsOfDifferentStakeholders,Fulfillment of the Expectations of Different Stakeholders,برآورده شدن انتظارات متقاضیان مختلف,,,,,
http://www.snik.eu/ontology/bb/CertificationByISO,Certification by ISO,صدور گواهینامه ISO,,,,,
http://www.snik.eu/ontology/bb/MainframeArchitecture,GroÃŸrechner-basierte Architektur|Mainframe Architecture,معماری رایانه,,,,,
http://www.snik.eu/ontology/bb/DecisionSupportSystem,Decision Support System,سیستم پشتیبانی تصمیم,,,,,
http://www.snik.eu/ontology/bb/Tiss,TISS,TISS,,,,,
http://www.snik.eu/ontology/bb/PatientActivityLevel,Patient Activity Level,سطح فعالیت بیمار,,,,,
http://www.snik.eu/ontology/bb/FederatedDatabaseSchema,Federated Database Schema,طرح پایگاه داده متعهد,,,,,
http://www.snik.eu/ontology/bb/InformationSystem,Information System|Informationssystem,سیستم اطلاعات,,,,,
http://www.snik.eu/ontology/bb/OpeningAPatientRecord,Opening a Patient Record,افتتاح  پرونده یک بیمار,,,,,
http://www.snik.eu/ontology/bb/SoftwareProduct,Software Product|Softwareprodukt,محصول نرم افزاری,,,,,
http://www.snik.eu/ontology/bb/Ward,Ward,بخش,,,,,
http://www.snik.eu/ontology/bb/OutpatientCareInstitution,Outpatient Care Institution,موسسه مراقبت سرپایی,,,,,
http://www.snik.eu/ontology/bb/Virtualization,Virtualization,مجازی سازی,,,,,
http://www.snik.eu/ontology/bb/TansCriticalSuccessFactorApproach,Tanâ€™s Critical Success Factor Approach,رویکرد فاکتور موفقیت بحرانی TanA,,,,,
http://www.snik.eu/ontology/bb/ICD10,ICD10,ICD10,,,,,
http://www.snik.eu/ontology/bb/Itil,ITIL,ITIL,,,,,
http://www.snik.eu/ontology/bb/DelphiSurvey,Delphi Survey,بررسی دلفی,,,,,
http://www.snik.eu/ontology/bb/FinancingOfHealthCare,Financing of Health Care,تامین مالی مراقبت های بهداشتی,,,,,
http://www.snik.eu/ontology/bb/IncidentManagement,Incident Management,مدیریت حادثه,,,,,
http://www.snik.eu/ontology/bb/CaseStudy,Case Study,مطالعه موردی,,,,,
http://www.snik.eu/ontology/bb/Saps,SAPS,SAPS,,,,,
http://www.snik.eu/ontology/bb/InfrastructureOfAnInformationSystem,Infrastructure of an Information System|Infrastruktur eines Informationssystems,زیرساخت سیستم اطلاعاتی,,,,,
http://www.snik.eu/ontology/bb/EncryptionSoftware,Encryption Software,نرم افزار رمزگذاری,,,,,
http://www.snik.eu/ontology/bb/PayrollAccounting,Payroll Accounting,حسابداری حقوق و دستمزد,,,,,
http://www.snik.eu/ontology/bb/Order,Order,سفارش,,,,,*
http://www.snik.eu/ontology/bb/UpToDatePhysicalDataProcessingSystem,up-to-dateness,تا به تاریخ بودن,,,,,
http://www.snik.eu/ontology/bb/ResearchAndEducationEntityType,Research and Education Entity Type,نوع نهاد تحقیق و آموزش و پرورش,,,,,
http://www.snik.eu/ontology/bb/Finding,Finding,یافته,,,,,
http://www.snik.eu/ontology/bb/ReportWriting,Report Writing,نوشتن گزارش,,,,,
http://www.snik.eu/ontology/bb/ItEvaluationStudy,IT Evaluation Study,مطالعه ارزیابی فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/IheTechnicalFramework,IHE Technical Framework,چارچوب فنی IHE,,,,,
http://www.snik.eu/ontology/bb/3LGM2DomainLayer,3LGMÂ² Domain Layer|Fachliche Ebene,لایه دامنه 3LGM²,,,,,
http://www.snik.eu/ontology/bb/ACnStyle,ACn Style,ACn سبک,,,,,
http://www.snik.eu/ontology/bb/CodingSystem,Coding System,سیستم کد گذاری,,,,,
http://www.snik.eu/ontology/bb/Information,Information,اطلاعات,,,,,
http://www.snik.eu/ontology/bb/LegalRequirement,Legal Requirement,الزام قانونی,,,,,*
http://www.snik.eu/ontology/bb/NetworkManagement,Network Management,مدیریت شبکه,,,,,
http://www.snik.eu/ontology/bb/HisOperation,HIS Operation,HIS عملکرد,,,,,
http://www.snik.eu/ontology/bb/Metamodel,Metamodel|Metamodell,متا مدل,,,,,
http://www.snik.eu/ontology/bb/OncologyInformationSystem,Oncology Information System,سیستم اطلاعات انکولوژی,,,,,
http://www.snik.eu/ontology/bb/ProcedureClass,Procedure Class,کلاس روش,,,,,
http://www.snik.eu/ontology/bb/HomeOfThePatient,Home of the Patient,خانه بیمار,,,,,
http://www.snik.eu/ontology/bb/RadiologicalExamination,Radiological Examination,آزمایش رادیولوژی,,,,,
http://www.snik.eu/ontology/bb/RobotSystem,Robot System,سیستم روباتی,,,,,
http://www.snik.eu/ontology/bb/OrderForm,Order Form,فرم سفارش,,,,,
http://www.snik.eu/ontology/bb/Saturation,Saturation,اشباع,,,,,
http://www.snik.eu/ontology/bb/QualityOfITTraining,Quality of IT Training,کیفیت آموزش IT,,,,,
http://www.snik.eu/ontology/bb/Evaluation,Evaluation,ارزیابی,,,,,
http://www.snik.eu/ontology/bb/SystemEvaluation,System Evaluation,ارزیابی سیستم,,,,,
http://www.snik.eu/ontology/bb/TransactionManagement,Transaction Management|Transaktionsmanagement,مدیریت تراکنش,,,,,
http://www.snik.eu/ontology/bb/3LGM2LogicalToolLayer,3LGMÂ² Logical Tool Layer|Logische Werkzeugebene,لایه ابزار منطقی 3LGM²,,,,,
http://www.snik.eu/ontology/bb/Ethernet,Ethernet,اترنت,,,,,
http://www.snik.eu/ontology/bb/CommunicationInterface,Communication Interface|Kommunikationsschnittstelle,رابط ارتباطی,,,,,
http://www.snik.eu/ontology/bb/ThrombosisProphylaxis,Thrombosis Prophylaxis,پیشگیری ترومبوز,,,,,
http://www.snik.eu/ontology/bb/IheActor,IHE Actor,IHE بازیگر,,,,,
http://www.snik.eu/ontology/bb/FailureManagement,Failure Management,مدیریت خطا,,,,,
http://www.snik.eu/ontology/bb/Acid,ACID,ACID,,,,,
http://www.snik.eu/ontology/bb/GoalOfMedicalEducation,Goal of Medical Education,هدف آموزش پزشکی,,,,,
http://www.snik.eu/ontology/bb/ClinicalPathway,Clinical Pathway,راه بالینی,,,,,
http://www.snik.eu/ontology/bb/KnowledgeRetrievalAndLiteratureManagement,Knowledge Retrieval and Literature Management,بازاریابی دانش و مدیریت ادبیات,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfChemotheraphy,Execution of Chemotheraphy,اجرای شیمی درمانی,,,,,
http://www.snik.eu/ontology/bb/OrganizationalPlan,Organizational Plan,طرح سازمانی,,,,,
http://www.snik.eu/ontology/bb/HealthInformationSystem,Health Information System|Informationssystem des Gesundheitswesens,سیستم اطلاعات بهداشتی HIS,,,,,
http://www.snik.eu/ontology/bb/IntroductionCost,Introduction Cost,هزینه معرفی,,,,,
http://www.snik.eu/ontology/bb/EventModelingElement,Event Modeling Element,رویداد مدل سازی عنصر,,,,,
http://www.snik.eu/ontology/bb/QualityOfTacticalInformationManagement,Quality of Tactical Information Management,کیفیت مدیریت اطلاعای تاکتیکی,,,,,*
http://www.snik.eu/ontology/bb/ManagementEntityType,Management Entity Type,سبک عنصر مدیریت,,,,,
http://www.snik.eu/ontology/bb/T3ApplicationServer,T3 Application Server,سرور برنامه T3,,,,,
http://www.snik.eu/ontology/bb/PatientIdentification,Patient Identification|Patientenidentifikation,شناسنایی بیمار,,,,,*
http://www.snik.eu/ontology/bb/QualityOfPatientCare,Quality of Patient Care,کیفیت درمان بیمار,,,,,
http://www.snik.eu/ontology/bb/QualityOfHISOutcome,Quality of HIS Outcome,کیفیت خروجی HIS,,,,,
http://www.snik.eu/ontology/bb/TransinstitutionalHealthInformationSystem,Transinstitutional Health Information System|Transinstitutionelles Informationssystem des Gesundheitswesens,سیستم اطالاعاتی درمانی میان سازمانی,,,,,*
http://www.snik.eu/ontology/bb/Atc,ATC,ATC,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfNursingProcedures,Execution of Nursing Procedures,اجرای روشهای پرستاری,,,,,
http://www.snik.eu/ontology/bb/CloseToHierarchyNetwork,Close-to-Hierarchy Network,شبکه نزدیک به سلسله مراتب,,,,,
http://www.snik.eu/ontology/bb/EN1613,EN1613,EN1613,,,,,
http://www.snik.eu/ontology/bb/Message,Message|Nachricht,پیام,,,,,
http://www.snik.eu/ontology/bb/BillingOfAccountableServices,Billing of Accountable Services,صورتحساب خدمات قابل توضیح,,,,,*
http://www.snik.eu/ontology/bb/ExecutionOfDiagnosticAndTherapeuticProcedures,Execution of Diagnostic and Therapeutic Procedures,اجرای روشهای تشخیصی و درمانی,,,,,
http://www.snik.eu/ontology/bb/MasterPatientIndex,Master Patient Index,فهرست ارشد بیمار,,,,,
http://www.snik.eu/ontology/bb/PatientRecordSystem,Patient Record System,سیستم سوابق بیمار,,,,,
http://www.snik.eu/ontology/bb/FunctionalRedundancy,Functional Redundancy|Funktionale Redundanz,اضافه بودن کارکرد,,,,,*
http://www.snik.eu/ontology/bb/Relevancy,Relevancy,مربوط بودن,,,,,
http://www.snik.eu/ontology/bb/ImagingModality,Imaging Modality,چگونگی تصویر برداری,,,,,
http://www.snik.eu/ontology/bb/OpticalMedium,Optical Medium,رسانه نوری,,,,,
http://www.snik.eu/ontology/bb/NetworkTopology,Network Topology,توپولوژی شبکه,,,,,
http://www.snik.eu/ontology/bb/PatientCareEntityType,Patient Care Entity Type,نوع عنصردرمان بیمار,,,,,*
http://www.snik.eu/ontology/bb/SecondLevelSupport,Second-Level Support,پشتیبانی سطح دوم,,,,,
http://www.snik.eu/ontology/bb/SupportCost,Support Cost,هزینه پشتیبانی,,,,,
http://www.snik.eu/ontology/bb/Sustainability,Sustainability,پایداری,,,,,
http://www.snik.eu/ontology/bb/PatientAdministrationSystem,Patient Administration System|Patientenverwaltungssystem,سیستم مدیریت بیمار,,,,,
http://www.snik.eu/ontology/bb/StaffCost,Staff Cost,هزینه کارکنان,,,,,
http://www.snik.eu/ontology/bb/BusinessProcessModel,Business Process Model|GeschÃ¤ftsprozessmodell,مدل فرآیند کسب و کار,,,,,
http://www.snik.eu/ontology/bb/StudyDesign,Study Design,طرح مطالعه,,,,,
http://www.snik.eu/ontology/bb/HisBenchmarking,HIS Benchmarking,معیار سنجش HIS,,,,,
http://www.snik.eu/ontology/bb/ApplicationComponent,Anwendungsbaustein|Application Component,عنصر نرم افزار,,,,,
http://www.snik.eu/ontology/bb/DischargeSummary,Discharge Summary,خلاصه تخلیه,,,,,
http://www.snik.eu/ontology/bb/DhcpServer,DHCP Server,سرور DHCP,,,,,
http://www.snik.eu/ontology/bb/DesigningCustomerCenteredServices,Designing Customer-Centered Services,طراحی خدمات مشتری متمرکز,,,,,
http://www.snik.eu/ontology/bb/AvailableServer,available server,سرور دسترس,,,,,
http://www.snik.eu/ontology/bb/IncidentAnalysis,Incident Analysis,تحلیل حادثه,,,,,
